,Productos,Cantidad,Venta,Etiquetas
0,Producto 1,0.009793389,0.001508079,Exitoso
1,Producto 2,0.006252749,0.00988913,Comun
2,Producto 3,0.009206807,0.006942227,Exitoso
3,Producto 4,0.009756408,0.013097203,Exitoso
4,Producto 5,0.001939571,0.006868984,Comun
5,Producto 6,0.003911195,0.004318789,Comun
6,Producto 7,0.009663566,0.005951247,Exitoso
7,Producto 8,0.003611509,0.007076906,Comun
8,Producto 9,0.008203468,0.007082253,Exitoso
9,Producto 10,0.001278114,0.003818565,Comun
10,Producto 11,0.006121429,0.009437175,Comun
11,Producto 12,0.007510724,0.007450613,Comun
12,Producto 13,0.002529863,0.008280699,Comun
13,Producto 14,0.001141488,0.010510518,Comun
14,Producto 15,0.003977799,0.000605118,Comun
15,Producto 16,0.006403331,0.001297741,Comun
16,Producto 17,0.006193988,0.001311829,Comun
17,Producto 18,0.009763499,0.013332889,Exitoso
18,Producto 19,0.007529735,0.000873298,Comun
19,Producto 20,0.005975886,0.007774556,Comun
20,Producto 21,0.000332013,0.007501682,Comun
21,Producto 22,0.004033704,0.006999164,Comun
22,Producto 23,0.000622161,0.015656647,Comun
23,Producto 24,0.003153285,0.01434221,Comun
24,Producto 25,0.004700072,0.005899344,Comun
25,Producto 26,0.001477928,0.01238109,Comun
26,Producto 27,0.000777606,0.008042663,Comun
27,Producto 28,0.006579053,0.015424176,Exitoso
28,Producto 29,0.008401162,0.00310462,Comun
29,Producto 30,0.006803837,0.005628828,Comun
30,Producto 31,0.00052429,0.001201907,No Exitoso
31,Producto 32,0.007550903,0.013273526,Exitoso
32,Producto 33,0.001043161,0.006716274,Comun
33,Producto 34,0.004108265,0.005819806,Comun
34,Producto 35,0.009576468,0.00780407,Exitoso
35,Producto 36,0.00887409,0.003930152,Exitoso
36,Producto 37,0.000113473,0.016592918,Comun
37,Producto 38,0.00470626,0.015885541,Exitoso
38,Producto 39,0.003329183,0.005677716,Comun
39,Producto 40,0.003446597,0.011698848,Comun
40,Producto 41,0.005021062,0.014777797,Exitoso
41,Producto 42,0.002439685,0.010969608,Comun
42,Producto 43,0.005886391,0.008319928,Comun
43,Producto 44,0.008239873,0.014681695,Exitoso
44,Producto 45,0.001255807,0.011340787,Comun
45,Producto 46,0.005720846,0.010720858,Comun
46,Producto 47,0.005269727,0.00624072,Comun
47,Producto 48,0.000906852,0.0144508,Comun
48,Producto 49,0.008557323,0.016301451,Exitoso
49,Producto 50,0.008894297,0.003586389,Exitoso
50,Producto 51,0.007812439,0.005584932,Comun
51,Producto 52,0.001116002,0.009614298,Comun
52,Producto 53,0.007815861,0.004174976,Comun
53,Producto 54,0.004523103,0.002646531,Comun
54,Producto 55,0.008859225,0.012890203,Exitoso
55,Producto 56,0.00053919,0.004352032,Comun
56,Producto 57,0.003445195,0.008294712,Comun
57,Producto 58,0.002328357,0.008330162,Comun
