,Producto,Cantidad,Venta,Etiquetas
0,Producto 448,0.0005583514404801803,0.0009170261201934945,No Exitoso
1,Producto 169,0.00020337965081244306,0.0004614903974617626,No Exitoso
2,Producto 301,0.0003887944687832199,0.00045452770938588275,No Exitoso
3,Producto 518,0.0013307283586419393,9.892154164790246e-05,No Exitoso
4,Producto 362,0.00011089402988682827,0.00010304327254989839,No Exitoso
5,Producto 545,0.0006034853106441194,0.0008541821420572909,No Exitoso
6,Producto 175,0.0014416223885287676,0.0009109025293411018,No Exitoso
7,Producto 210,0.00044357611954731307,0.0005852857880834229,No Exitoso
8,Producto 198,0.00025350375232128944,0.000408365063975128,No Exitoso
9,Producto 222,0.004103079105812646,0.005718901626519361,Comun
10,Producto 574,0.008095264181738464,0.008725704319525397,Exitoso
11,Producto 366,0.001219834328755111,0.0008161027185951953,No Exitoso
12,Producto 462,0.0013307283586419393,0.0013601711976586588,No Exitoso
13,Producto 453,0.0007341184778508032,0.001169335119092277,No Exitoso
14,Producto 228,0.0011089402988682827,0.00035034712666965457,No Exitoso
15,Producto 64,0.0014416223885287676,0.0006965725224373131,No Exitoso
16,Producto 375,0.0004460157882048233,0.0005578578204435908,No Exitoso
17,Producto 116,0.00015436448960246495,0.00021499342985824608,No Exitoso
18,Producto 454,0.0005544701494341413,0.0006388682898093701,No Exitoso
19,Producto 178,3.2824632846501165e-05,7.968847089815042e-05,No Exitoso
20,Producto 10,0.002106986567849737,0.0015662577427584556,Comun
21,Producto 18,9.448171346357768e-05,0.0007433303183967506,No Exitoso
22,Producto 595,0.001663410448302424,0.002380299595902653,Comun
23,Producto 281,0.0015525164184155957,0.0004616338610235448,Comun
24,Producto 102,0.0003031842777105885,0.000323576492096854,No Exitoso
25,Producto 556,0.000785240625628631,0.0010237920763796853,No Exitoso
26,Producto 158,0.0007762582092077978,0.00020196481419780085,No Exitoso
27,Producto 94,0.0003326820896604848,1.2365192705987807e-05,No Exitoso
28,Producto 360,0.0006493954390172663,0.0008794745231002964,No Exitoso
29,Producto 497,3.659502986265333e-05,8.15473919428407e-05,No Exitoso
30,Producto 440,2.9719600009669978e-05,0.00010818481315960465,No Exitoso
31,Producto 84,0.0001403918418367246,0.0008098871043711574,No Exitoso
32,Producto 596,0.004435761195473131,0.0022257346870778053,Comun
33,Producto 551,0.009980462689814545,0.007419115623592684,Exitoso
34,Producto 248,0.005544701494341413,0.002782168358847257,Comun
35,Producto 411,7.684956271157198e-05,0.00021540823459514766,No Exitoso
36,Producto 277,0.0008338122107190617,0.0010538369012835487,No Exitoso
37,Producto 188,0.0003326820896604848,0.0005007903045925061,No Exitoso
38,Producto 32,3.57078776235587e-05,0.00010524633983943071,No Exitoso
39,Producto 89,0.003326820896604848,0.00024730385411975614,Comun
40,Producto 523,8.993505823821773e-05,0.0006035778295585316,No Exitoso
41,Producto 231,0.009425992540380403,0.0022772563233527544,Exitoso
42,Producto 445,0.0005811956106368669,0.000544993828272779,No Exitoso
43,Producto 211,0.0051011253747941,0.00929038145309884,Comun
44,Producto 70,0.00953688657026723,0.01453322316043767,Exitoso
45,Producto 108,0.0003730475165392903,0.000510475485546053,No Exitoso
46,Producto 229,0.00022178805977365654,0.00035034712666965457,No Exitoso
47,Producto 586,0.0005544701494341413,0.0003400427994146647,No Exitoso
48,Producto 336,0.0009980462689814543,0.0013354408122466831,No Exitoso
49,Producto 52,0.00047007979269026503,0.0008697181941683585,No Exitoso
50,Producto 90,0.00016013097915658,0.0007296307906476589,No Exitoso
51,Producto 575,0.0014416223885287676,0.0017146400552303094,No Exitoso
52,Producto 351,8.250515823580023e-05,0.00011683183824825669,No Exitoso
53,Producto 550,5.9550094049226785e-05,0.0005886172917953597,No Exitoso
54,Producto 199,0.0004135238374479826,0.0005745161153833187,No Exitoso
55,Producto 115,0.00029586527173805786,0.0003773267726776801,No Exitoso
56,Producto 196,0.00047196499119834113,0.0005637648048904801,No Exitoso
57,Producto 4,0.007429900002417494,0.0038661835860721878,Comun
58,Producto 543,0.00048105830164906106,0.0009298279736178036,No Exitoso
59,Producto 33,3.227016269706702e-05,0.00015494803823402862,No Exitoso
60,Producto 182,0.0013307283586419393,0.00012365192705987807,No Exitoso
61,Producto 20,0.0005434916404753453,0.0006160614492391511,No Exitoso
62,Producto 355,0.004546655225359959,0.0036333057901094174,Comun
63,Producto 367,0.00015292286721393618,0.0006448654739044319,No Exitoso
64,Producto 582,0.0009980462689814543,0.001595109859072427,No Exitoso
65,Producto 110,0.0003356762284674292,0.0007891200113450123,No Exitoso
66,Producto 9,9.880658062916399e-05,0.0003982554243475725,No Exitoso
67,Producto 255,0.0036595029862653327,0.006324796069112764,Comun
68,Producto 327,0.00018818716871794758,0.0009592994840899158,No Exitoso
69,Producto 270,0.008095264181738464,0.013088556479288095,Exitoso
70,Producto 471,0.009204204480606746,0.017105183243283133,Exitoso
71,Producto 16,0.00022178805977365654,9.892154164790246e-05,No Exitoso
72,Producto 487,9.470350152335134e-05,0.00015491543325959708,No Exitoso
73,Producto 263,0.0003773723837048766,0.0009478721012046195,No Exitoso
74,Producto 139,8.971327017844407e-05,0.0005846345409978353,No Exitoso
75,Producto 326,0.0011089402988682827,0.0017311269788382931,No Exitoso
76,Producto 163,0.0002846649747194882,0.00033894684211748774,No Exitoso
77,Producto 105,0.0004938111150860463,0.0005255390230675397,No Exitoso
78,Producto 2,0.005544701494341413,0.007419115623592684,Comun
79,Producto 330,0.001663410448302424,0.0015456490882484759,Comun
80,Producto 414,0.0008871522390946261,0.0004616338610235448,No Exitoso
81,Producto 571,0.00022178805977365654,0.0001607475051778415,No Exitoso
82,Producto 218,0.004879337315020444,0.0016322054371903905,Comun
83,Producto 97,0.0009980462689814543,0.0012983452341287197,No Exitoso
84,Producto 166,0.0031050328368311913,0.0002885211631397155,Comun
85,Producto 220,0.005544701494341413,0.0026791250862973582,Comun
86,Producto 321,0.00023021600604505548,0.00029563437959575714,No Exitoso
87,Producto 480,0.0015525164184155957,0.0019619439093500656,Comun
88,Producto 309,0.0052120194046809286,0.0005811640571814269,Comun
89,Producto 253,0.0006653641793209696,0.0005811640571814269,No Exitoso
90,Producto 504,0.00018330783140292712,0.00017263972327580493,No Exitoso
91,Producto 338,0.010091356719701372,0.01031463158224483,Exitoso
92,Producto 450,0.00011699320153060382,0.00022572846036540955,No Exitoso
93,Producto 12,0.0006454032539413405,0.0005564608599680133,No Exitoso
94,Producto 280,0.00022178805977365654,4.5339039921955296e-05,No Exitoso
95,Producto 23,8.006548957829e-05,0.0001397536332389415,No Exitoso
96,Producto 510,0.0008871522390946261,0.001022189263694992,No Exitoso
97,Producto 377,0.004213973135699474,0.005873466535344208,Comun
98,Producto 475,0.0002533928582914026,0.00033075751090861093,No Exitoso
99,Producto 333,0.00030030103293353095,0.0009940788826395832,No Exitoso
100,Producto 147,0.007429900002417494,0.0077323671721443756,Comun
101,Producto 100,0.002439668657510222,0.004125852632897932,Comun
102,Producto 226,6.431853733436039e-05,0.0002329786210826822,No Exitoso
103,Producto 323,0.0006719069270842925,0.0007135305010055249,No Exitoso
104,Producto 549,0.010091356719701372,0.017441104311795803,Exitoso
105,Producto 17,0.0013307283586419393,0.0019042396767221224,No Exitoso
106,Producto 21,0.005322913434567757,0.006330978665465757,Comun
107,Producto 138,0.001663410448302424,0.0019166048694281102,Comun
108,Producto 156,0.0009980462689814543,0.001799135538721226,No Exitoso
109,Producto 85,0.0001632360119934112,0.0003596398810327236,No Exitoso
110,Producto 243,0.0022178805977365653,0.0031737327945368706,Comun
111,Producto 538,8.749538958070751e-05,0.0001543970070363707,No Exitoso
112,Producto 209,0.009315098510493575,0.006578282519585514,Exitoso
113,Producto 385,0.006875429852983353,0.0016610575535043622,Comun
114,Producto 42,0.005544701494341413,0.0016486923607983742,Comun
115,Producto 494,0.00022178805977365654,0.00018959962149181305,No Exitoso
116,Producto 526,0.001219834328755111,0.0017682225569562564,No Exitoso
117,Producto 55,4.369224777541034e-05,0.00013192368449935275,No Exitoso
118,Producto 537,0.0036595029862653327,0.004556573512156507,Comun
119,Producto 69,5.589059106296145e-05,0.00024121540898025963,No Exitoso
120,Producto 31,0.00011089402988682827,8.449548349091668e-05,No Exitoso
121,Producto 553,0.004546655225359959,0.0015209187028365004,Comun
122,Producto 546,0.0019960925379629087,0.0017805877496622443,Comun
123,Producto 73,0.0022178805977365653,0.0015662577427584556,Comun
124,Producto 579,0.0013307283586419393,0.002052621989193976,Comun
125,Producto 215,0.0003326820896604848,0.0005873466535344209,No Exitoso
126,Producto 483,0.0008871522390946261,0.00032973847215967485,No Exitoso
127,Producto 274,0.007540794032304322,0.013173051962779011,Exitoso
128,Producto 161,0.00016556478662103463,0.00025510103755732767,No Exitoso
129,Producto 409,0.00039555900460631644,0.000623275489025724,No Exitoso
130,Producto 536,0.00011089402988682827,7.419115623592685e-05,No Exitoso
131,Producto 254,0.00010534932839248685,0.000143097660009172,No Exitoso
132,Producto 525,0.00022178805977365654,0.00038332097388562203,No Exitoso
133,Producto 506,0.00021247296126316296,0.0004506823790324942,No Exitoso
134,Producto 577,0.00015758041646918297,0.0007722975247228106,No Exitoso
135,Producto 361,0.003770397016152161,0.0038538183933662,Comun
136,Producto 66,0.00032769185831557754,0.0003318144582256008,No Exitoso
137,Producto 417,0.004879337315020444,0.006438143668917652,Comun
138,Producto 39,8.339231047489486e-05,0.0003038898432334186,No Exitoso
139,Producto 171,8.882611793934946e-05,0.0005785082437584546,No Exitoso
140,Producto 428,0.00011089402988682827,4.5339039921955296e-05,No Exitoso
141,Producto 203,0.00953688657026723,0.00407639186207398,Exitoso
142,Producto 370,0.00023254478067267887,0.000448981257604898,No Exitoso
143,Producto 267,0.005544701494341413,0.0014426058156985775,Comun
144,Producto 405,0.003326820896604848,0.0059971184624040864,Comun
145,Producto 470,0.007208111942643838,0.012457931651282715,Comun
146,Producto 353,0.0006434071614033776,0.000801922845564674,No Exitoso
147,Producto 173,0.00011089402988682827,0.00018547789058981712,No Exitoso
148,Producto 421,0.0018851985080760806,0.0031180894273599253,Comun
149,Producto 136,0.006320959703549211,0.006460813188878629,Comun
150,Producto 265,0.001663410448302424,0.0008037375258892075,Comun
151,Producto 118,0.0007762582092077978,0.00027409510498272973,No Exitoso
152,Producto 146,0.004435761195473131,0.0024730385411975615,Comun
153,Producto 273,0.004546655225359959,0.004055783207564001,Comun
154,Producto 219,5.134393583760149e-05,6.960784260549137e-05,No Exitoso
155,Producto 346,0.0004095316523720568,0.0008865956463843705,No Exitoso
156,Producto 201,0.0003848022837072941,0.0004169820802816413,No Exitoso
157,Producto 294,0.0005544701494341413,0.00018547789058981712,No Exitoso
158,Producto 420,0.003992185075925817,0.001928970062134098,Comun
159,Producto 195,0.001663410448302424,0.00040186876294460376,Comun
160,Producto 449,0.00039167771356027743,0.0008203974948351449,No Exitoso
161,Producto 593,0.00044357611954731307,4.946077082395123e-05,No Exitoso
162,Producto 251,0.000551476010627197,0.0009021024327160951,No Exitoso
163,Producto 521,0.0006653641793209696,0.0009521198383610612,No Exitoso
164,Producto 544,0.0004687490643316231,0.000507297569368614,No Exitoso
165,Producto 380,0.00011056134779716779,0.0003025845893142571,No Exitoso
166,Producto 459,0.00022079001350467509,0.00048431752362418075,No Exitoso
167,Producto 79,0.0031050328368311913,0.003577662422932472,Comun
168,Producto 376,0.00044357611954731307,0.000511094631847496,No Exitoso
169,Producto 145,0.0007762582092077978,0.0012262149433437909,No Exitoso
170,Producto 520,0.00080974820623362,0.0006409045793520936,No Exitoso
171,Producto 58,0.00010002641495791911,0.0007901993387974904,No Exitoso
172,Producto 548,0.007651688062191151,0.008389783251012728,Exitoso
173,Producto 529,0.0019960925379629087,0.0014467275466005735,Comun
174,Producto 324,0.000650282591256361,0.0007960761371207255,No Exitoso
175,Producto 312,0.004990231344907272,0.00769733245947741,Comun
176,Producto 476,0.000310614177713006,0.0006291456834903223,No Exitoso
177,Producto 560,0.00011089402988682827,0.00015044317792285166,No Exitoso
178,Producto 406,0.0015525164184155957,0.0028563595150831833,Comun
179,Producto 298,0.0005544701494341413,0.0007419115623592685,No Exitoso
180,Producto 587,0.004657549255246788,0.0004327817447095733,Comun
181,Producto 460,0.00022023554335524095,0.0002679424898862969,No Exitoso
182,Producto 493,0.00026093365232370696,0.00028235482455323967,No Exitoso
183,Producto 189,0.0011089402988682827,0.001854778905898171,No Exitoso
184,Producto 349,0.00022178805977365654,0.00024730385411975614,No Exitoso
185,Producto 190,0.0019960925379629087,0.00281926393696522,Comun
186,Producto 297,0.00015403180751280446,0.00017219580301075277,No Exitoso
187,Producto 128,0.0001722184284142443,0.0006930166985402083,No Exitoso
188,Producto 75,0.0003326820896604848,0.0005997118462404086,No Exitoso
189,Producto 446,0.004657549255246788,0.004760599191805306,Comun
190,Producto 262,0.0006653641793209696,0.00040805135929759763,No Exitoso
191,Producto 438,0.002106986567849737,0.003015046154810027,Comun
192,Producto 183,0.001663410448302424,0.0021329957417828968,Comun
193,Producto 419,8.649734331172605e-05,0.00047695550871521903,No Exitoso
194,Producto 444,0.001663410448302424,0.0025966904682574394,Comun
195,Producto 291,0.003992185075925817,0.002299925843313732,Comun
196,Producto 98,0.0022178805977365653,0.0010716500345189432,Comun
197,Producto 252,0.00040387605684782854,0.0003315360792092355,No Exitoso
198,Producto 60,0.0011089402988682827,0.0011953019615788213,No Exitoso
199,Producto 260,0.00020715004782859522,0.0002609201360478222,No Exitoso
200,Producto 565,0.00024895709709592945,0.00019945278574123656,No Exitoso
201,Producto 519,0.00036195811355060745,0.0010045390717369489,No Exitoso
202,Producto 269,0.00044357611954731307,5.77042326279431e-05,No Exitoso
203,Producto 286,6.420764330447356e-05,0.00011539657699234125,No Exitoso
204,Producto 592,0.0006323177584146947,0.0007105498119599255,No Exitoso
205,Producto 317,0.0014416223885287676,5.358250172594717e-05,No Exitoso
206,Producto 148,0.0006329831225940158,0.0007081333091673754,No Exitoso
207,Producto 202,0.000645735936031001,0.0009762107687173523,No Exitoso
208,Producto 443,9.559065376244596e-05,0.00040906635097326394,No Exitoso
209,Producto 258,0.0005544701494341413,0.0003091298176496952,No Exitoso
210,Producto 63,0.00013207478959521247,0.00029843684083074543,No Exitoso
211,Producto 279,0.00013362730601362808,0.0001544648422172085,No Exitoso
212,Producto 287,0.002106986567849737,0.0007831288713792278,Comun
213,Producto 236,0.0007762582092077978,0.00037507751208163017,No Exitoso
214,Producto 37,0.0005699953136182972,0.0008683414491986704,No Exitoso
215,Producto 295,0.0005544701494341413,6.182596352993903e-05,No Exitoso
216,Producto 372,0.007984370151851635,0.008309409498423806,Exitoso
217,Producto 132,0.0007762582092077978,0.0009665458965180469,No Exitoso
218,Producto 558,0.0002428579254521539,0.00027086205804214067,No Exitoso
219,Producto 495,0.0019960925379629087,0.00270797720261133,Comun
220,Producto 250,6.376406718492625e-05,8.062181972654086e-05,No Exitoso
221,Producto 194,0.003326820896604848,0.001483823124718537,Comun
222,Producto 532,0.0005544701494341413,0.00038126010843462404,No Exitoso
223,Producto 83,0.00576648955411507,0.008251705265795864,Comun
224,Producto 234,0.000291207722482811,0.0002718245933695025,No Exitoso
225,Producto 365,0.0005167661792726197,0.0004952802631865985,No Exitoso
226,Producto 91,0.0034377149264916765,0.003960983396818094,Comun
227,Producto 78,0.0029941388069443632,0.0018362311168391894,Comun
228,Producto 157,0.0003356762284674292,0.0007901875042170579,No Exitoso
229,Producto 208,0.004657549255246788,0.0036353666555604155,Comun
230,Producto 230,0.0008451234017675183,0.0009962808569006047,No Exitoso
231,Producto 186,0.005877383584001898,0.0036044536737954457,Comun
232,Producto 266,0.00041263668520888797,0.0010230053184103688,No Exitoso
233,Producto 87,0.00255056268739705,0.0018485963095451771,Comun
234,Producto 486,0.0006653641793209696,0.00025966904682574394,No Exitoso
235,Producto 36,8.727360152093385e-05,0.0003412357349755076,No Exitoso
236,Producto 509,0.006875429852983353,0.002938794133123102,Comun
237,Producto 590,0.0005502561762984418,0.0006685168822438041,No Exitoso
238,Producto 140,0.00044357611954731307,0.0006017727116914066,No Exitoso
239,Producto 167,0.0001953952806605914,0.0002479638439146099,No Exitoso
240,Producto 402,0.006210065673662383,0.010040536477262099,Comun
241,Producto 72,0.0006969689778387157,0.0008196554634247289,No Exitoso
242,Producto 101,0.0067645358230965244,0.0011314151325978845,Comun
243,Producto 185,0.0017743044781892523,0.0004946077082395123,Comun
244,Producto 431,0.005877383584001898,0.0030583243292809843,Comun
245,Producto 566,0.0006327613345342421,0.0009782367367618943,No Exitoso
246,Producto 371,0.0003291334807041063,0.0006047618766929522,No Exitoso
247,Producto 564,0.00025838308963630987,0.0002839949017431822,No Exitoso
